"data_test$Id","SalePrice"
1461,117478.723058883
1462,168574.145800099
1463,191006.542824614
1464,197133.943681378
1465,211626.128777364
1466,168596.288247478
1467,173217.72656952
1468,158808.189167773
1469,199195.854360886
1470,120452.891190085
1471,158481.962493799
1472,88655.8681535079
1473,97394.707502329
1474,146143.396503005
1475,106781.979099682
1476,377336.008314928
1477,266170.899408295
1478,323496.67952069
1479,288138.376331824
1480,476778.484849221
1481,301779.867947302
1482,210519.235497014
1483,174609.049708579
1484,162322.953740833
1485,178350.052722198
1486,187555.693107426
1487,336621.621438442
1488,234322.492957381
1489,202938.104232963
1490,248147.561487514
1491,199465.176600083
1492,106069.472528799
1493,178803.23421995
1494,302745.5530731
1495,293174.49328622
1496,235429.740762653
1497,178672.777575854
1498,176431.040086158
1499,156441.669747938
1500,153544.265206334
1501,192693.972041851
1502,132814.009001534
1503,288813.933483716
1504,239700.280959642
1505,221296.229119838
1506,194479.265785225
1507,257361.406214946
1508,202336.413212702
1509,154615.190045602
1510,145196.974801787
1511,163374.815774583
1512,184588.523389571
1513,150130.228679567
1514,170168.477705506
1515,209379.845442777
1516,152780.479063241
1517,174346.353422354
1518,121311.233313739
1519,214081.393810793
1520,125507.540368869
1521,136862.038689467
1522,185243.832652903
1523,117532.875715936
1524,127652.551111542
1525,117123.702728566
1526,102272.1754959
1527,110750.322501909
1528,129174.115128071
1529,161711.544822288
1530,212292.085963359
1531,136386.800009864
1532,97301.8062441224
1533,169354.267078638
1534,118707.187845735
1535,155277.090652088
1536,96142.352392193
1537,99713.8409370366
1538,164216.38938626
1539,215882.363945094
1540,96103.5410603883
1541,140056.643998022
1542,166087.934189436
1543,190632.608487464
1544,80860.232450548
1545,119712.436313021
1546,136123.409676546
1547,138853.943296092
1548,147215.631338645
1549,121949.074474346
1550,144170.88859214
1551,101652.446465222
1552,165189.391606661
1553,156344.682433825
1554,108387.28239921
1555,163277.077605082
1556,72289.7728960038
1557,133279.870851626
1558,103181.650836253
1559,123104.639545941
1560,120787.282068865
1561,145173.545200802
1562,134492.244182497
1563,128501.609323161
1564,172451.362293851
1565,159638.199714949
1566,228827.217626196
1567,77417.265202239
1568,225228.365148344
1569,155898.75367151
1570,127000.870489222
1571,90117.7701292032
1572,149403.601975492
1573,266064.634499756
1574,128946.838689161
1575,236490.078791515
1576,226906.985639408
1577,179925.718924092
1578,155513.103809647
1579,134116.398381259
1580,187784.683210235
1581,156338.119256823
1582,135819.930401308
1583,291907.521003839
1584,217056.39795315
1585,130975.532193546
1586,89290.3519332512
1587,104240.072343985
1588,157644.771111131
1589,107762.776414618
1590,120895.622888468
1591,96014.7938066172
1592,128437.140396038
1593,123399.50762792
1594,145544.879326358
1595,141668.202825362
1596,235055.598222741
1597,204278.205245126
1598,214386.112865788
1599,196925.07619984
1600,178486.658497146
1601,78190.8481385074
1602,122002.731124806
1603,42752.221442983
1604,279451.421092271
1605,235398.920768202
1606,156109.15496284
1607,161313.551108924
1608,199942.547645641
1609,193181.838791752
1610,152825.042519173
1611,127501.123084067
1612,184338.691896865
1613,167363.674862142
1614,140749.05845288
1615,95391.5340160302
1616,69933.5495447375
1617,88857.4569099048
1618,138580.552640879
1619,143981.512251141
1620,167864.112432514
1621,134334.294750247
1622,156907.154206611
1623,260481.444394376
1624,199136.141228278
1625,105866.319120771
1626,167589.392941878
1627,190374.209534623
1628,275857.278059194
1629,177909.948548451
1630,358357.205079397
1631,245552.63487502
1632,253257.207230467
1633,162854.991940516
1634,178049.724475859
1635,172496.562703171
1636,146220.545844029
1637,209705.952558262
1638,182746.332432406
1639,178325.328612478
1640,235533.935619464
1641,181465.785145312
1642,239195.858748571
1643,222200.203738822
1644,237174.281912379
1645,226896.842682023
1646,154382.351264801
1647,147653.885358562
1648,126894.865124849
1649,132393.479158102
1650,112709.649492342
1651,120080.366917137
1652,99419.0319244507
1653,99432.2403457332
1654,142359.378894321
1655,123776.73666812
1656,142279.56249351
1657,156357.903396432
1658,143955.989351759
1659,123683.438071357
1660,157121.585172644
1661,436540.030383853
1662,408687.419788767
1663,387227.185331056
1664,503422.718261051
1665,334894.814336799
1666,312981.452850144
1667,367784.188451559
1668,355014.025243471
1669,323804.243767096
1670,359468.904475504
1671,261352.219556924
1672,422670.512236608
1673,290151.349919696
1674,251082.468347031
1675,196441.96970684
1676,202992.40270527
1677,216130.843900226
1678,485726.476990753
1679,371667.010445322
1680,351658.48736178
1681,285081.919988981
1682,308869.766456287
1683,189491.402951742
1684,171260.143072456
1685,170738.723437869
1686,158894.662862504
1687,159417.957558051
1688,179679.292607586
1689,187106.015372681
1690,187245.237523013
1691,177538.848147268
1692,246292.304889569
1693,171557.022955367
1694,181046.17928989
1695,167146.342773511
1696,265440.331899179
1697,174668.00952372
1698,339880.048629706
1699,330175.407676584
1700,265598.495248094
1701,278317.931227143
1702,238571.135251566
1703,230159.299192541
1704,273969.050081728
1705,234860.603734382
1706,158296.638023228
1707,208185.890710534
1708,200912.333200312
1709,279231.278327812
1710,225444.705409961
1711,267595.891657265
1712,256452.074943905
1713,270455.165715897
1714,222742.709361597
1715,207736.493333895
1716,184223.464765511
1717,173522.267310157
1718,143636.349177366
1719,221381.102419967
1720,253218.647485907
1721,146970.807473102
1722,114737.696691002
1723,154483.397470265
1724,213665.134457729
1725,243653.982223495
1726,190812.142665226
1727,145094.275708008
1728,151261.596812113
1729,176181.464838522
1730,168140.952828167
1731,110798.979591514
1732,130490.062393075
1733,118920.418863448
1734,123779.986931578
1735,90666.711932715
1736,92782.411611402
1737,296761.546347264
1738,260750.462288664
1739,248789.11128462
1740,223149.715730157
1741,189753.196071847
1742,173080.617104397
1743,167117.261565186
1744,346950.452815041
1745,216827.748863627
1746,204410.404377115
1747,221705.514575588
1748,237981.911524549
1749,134349.112523487
1750,126704.151899449
1751,235339.861616186
1752,111158.433071231
1753,154562.246036635
1754,203076.16918387
1755,168561.198371547
1756,148255.993221615
1757,116983.785511532
1758,157645.162078526
1759,166102.089222615
1760,161505.672170794
1761,157215.07853602
1762,192026.647882359
1763,178215.343523621
1764,110101.309693332
1765,182745.412062116
1766,188858.615301713
1767,229225.892145645
1768,145468.334785397
1769,157885.255001488
1770,144321.975276905
1771,122453.410280488
1772,136063.086824948
1773,123155.03705338
1774,152503.51859408
1775,131431.275896154
1776,128553.681946089
1777,103886.377021264
1778,147674.037566764
1779,134233.187956228
1780,155742.874645137
1781,121683.006178927
1782,85900.990504557
1783,143127.54098786
1784,107517.439151923
1785,134345.947209311
1786,118149.093023508
1787,148554.611788287
1788,81671.2367273312
1789,105890.45445314
1790,74887.1437224456
1791,189149.927975885
1792,164911.49238826
1793,128525.320128244
1794,159692.358423551
1795,130402.493028731
1796,127649.753023116
1797,120246.525345162
1798,122737.625956658
1799,97853.5781602193
1800,126541.549362392
1801,131671.031276874
1802,97310.0175103795
1803,156061.938018529
1804,132625.675219472
1805,126107.941207417
1806,126632.312044538
1807,134539.33424563
1808,119694.854186394
1809,132658.142495913
1810,145995.573115429
1811,71880.7977826086
1812,117573.732033763
